0,0,0
0,0,20
0,51.43,20
0,102.86,20
0,154.29,20
0,205.71,20
0,257.14,20
0,308.57,20
0,0,40
0,30,40
0,60,40
0,90,40
0,120,40
0,150,40
0,180,40
0,210,40
0,240,40
0,270,40
0,300,40
0,330,40
0,0,60
0,22.5,60
0,45,60
0,67.5,60
0,90,60
0,112.5,60
0,135,60
0,157.5,60
0,180,60
0,202.5,60
0,225,60
0,247.5,60
0,270,60
0,292.5,60
0,315,60
0,337.5,60
0,0,80
0,20,80
0,40,80
0,60,80
0,80,80
0,100,80
0,120,80
0,140,80
0,160,80
0,180,80
0,200,80
0,220,80
0,240,80
0,260,80
0,280,80
0,300,80
0,320,80
0,340,80
0,0,100
0,20,100
0,40,100
0,60,100
0,80,100
0,100,100
0,120,100
0,140,100
0,160,100
0,180,100
0,200,100
0,220,100
0,240,100
0,260,100
0,280,100
0,300,100
0,320,100
0,340,100
0,0,120
0,22.5,120
0,45,120
0,67.5,120
0,90,120
0,112.5,120
0,135,120
0,157.5,120
0,180,120
0,202.5,120
0,225,120
0,247.5,120
0,270,120
0,292.5,120
0,315,120
0,337.5,120
0,0,140
0,30,140
0,60,140
0,90,140
0,120,140
0,150,140
0,180,140
0,210,140
0,240,140
0,270,140
0,300,140
0,330,140
0,0,160
0,51.43,160
0,102.86,160
0,154.29,160
0,205.71,160
0,257.14,160
0,308.57,160
0,0,180
20,0,0
20,0,20
20,51.43,20
20,102.86,20
20,154.29,20
20,205.71,20
20,257.14,20
20,308.57,20
20,0,40
20,30,40
20,60,40
20,90,40
20,120,40
20,150,40
20,180,40
20,210,40
20,240,40
20,270,40
20,300,40
20,330,40
20,0,60
20,22.5,60
20,45,60
20,67.5,60
20,90,60
20,112.5,60
20,135,60
20,157.5,60
20,180,60
20,202.5,60
20,225,60
20,247.5,60
20,270,60
20,292.5,60
20,315,60
20,337.5,60
20,0,80
20,20,80
20,40,80
20,60,80
20,80,80
20,100,80
20,120,80
20,140,80
20,160,80
20,180,80
20,200,80
20,220,80
20,240,80
20,260,80
20,280,80
20,300,80
20,320,80
20,340,80
20,0,100
20,20,100
20,40,100
20,60,100
20,80,100
20,100,100
20,120,100
20,140,100
20,160,100
20,180,100
20,200,100
20,220,100
20,240,100
20,260,100
20,280,100
20,300,100
20,320,100
20,340,100
20,0,120
20,22.5,120
20,45,120
20,67.5,120
20,90,120
20,112.5,120
20,135,120
20,157.5,120
20,180,120
20,202.5,120
20,225,120
20,247.5,120
20,270,120
20,292.5,120
20,315,120
20,337.5,120
20,0,140
20,30,140
20,60,140
20,90,140
20,120,140
20,150,140
20,180,140
20,210,140
20,240,140
20,270,140
20,300,140
20,330,140
20,0,160
20,51.43,160
20,102.86,160
20,154.29,160
20,205.71,160
20,257.14,160
20,308.57,160
20,0,180
40,0,0
40,0,20
40,51.43,20
40,102.86,20
40,154.29,20
40,205.71,20
40,257.14,20
40,308.57,20
40,0,40
40,30,40
40,60,40
40,90,40
40,120,40
40,150,40
40,180,40
40,210,40
40,240,40
40,270,40
40,300,40
40,330,40
40,0,60
40,22.5,60
40,45,60
40,67.5,60
40,90,60
40,112.5,60
40,135,60
40,157.5,60
40,180,60
40,202.5,60
40,225,60
40,247.5,60
40,270,60
40,292.5,60
40,315,60
40,337.5,60
40,0,80
40,20,80
40,40,80
40,60,80
40,80,80
40,100,80
40,120,80
40,140,80
40,160,80
40,180,80
40,200,80
40,220,80
40,240,80
40,260,80
40,280,80
40,300,80
40,320,80
40,340,80
40,0,100
40,20,100
40,40,100
40,60,100
40,80,100
40,100,100
40,120,100
40,140,100
40,160,100
40,180,100
40,200,100
40,220,100
40,240,100
40,260,100
40,280,100
40,300,100
40,320,100
40,340,100
40,0,120
40,22.5,120
40,45,120
40,67.5,120
40,90,120
40,112.5,120
40,135,120
40,157.5,120
40,180,120
40,202.5,120
40,225,120
40,247.5,120
40,270,120
40,292.5,120
40,315,120
40,337.5,120
40,0,140
40,30,140
40,60,140
40,90,140
40,120,140
40,150,140
40,180,140
40,210,140
40,240,140
40,270,140
40,300,140
40,330,140
40,0,160
40,51.43,160
40,102.86,160
40,154.29,160
40,205.71,160
40,257.14,160
40,308.57,160
40,0,180
60,0,0
60,0,20
60,51.43,20
60,102.86,20
60,154.29,20
60,205.71,20
60,257.14,20
60,308.57,20
60,0,40
60,30,40
60,60,40
60,90,40
60,120,40
60,150,40
60,180,40
60,210,40
60,240,40
60,270,40
60,300,40
60,330,40
60,0,60
60,22.5,60
60,45,60
60,67.5,60
60,90,60
60,112.5,60
60,135,60
60,157.5,60
60,180,60
60,202.5,60
60,225,60
60,247.5,60
60,270,60
60,292.5,60
60,315,60
60,337.5,60
60,0,80
60,20,80
60,40,80
60,60,80
60,80,80
60,100,80
60,120,80
60,140,80
60,160,80
60,180,80
60,200,80
60,220,80
60,240,80
60,260,80
60,280,80
60,300,80
60,320,80
60,340,80
60,0,100
60,20,100
60,40,100
60,60,100
60,80,100
60,100,100
60,120,100
60,140,100
60,160,100
60,180,100
60,200,100
60,220,100
60,240,100
60,260,100
60,280,100
60,300,100
60,320,100
60,340,100
60,0,120
60,22.5,120
60,45,120
60,67.5,120
60,90,120
60,112.5,120
60,135,120
60,157.5,120
60,180,120
60,202.5,120
60,225,120
60,247.5,120
60,270,120
60,292.5,120
60,315,120
60,337.5,120
60,0,140
60,30,140
60,60,140
60,90,140
60,120,140
60,150,140
60,180,140
60,210,140
60,240,140
60,270,140
60,300,140
60,330,140
60,0,160
60,51.43,160
60,102.86,160
60,154.29,160
60,205.71,160
